10:00,大体育館,グリーンホール,外ステージ
10:30,,$h3入試説明会<br>10:00-11:30,
11:00,$h2Mステ<br>11:10-11:50,,
11:30,,,
12:00,$h2ダンス部<br>11:55-12:40,,
12:30,,,
13:00,$h3軽音楽部<br>12:45-14:15,$h2高校演劇部<br>12:30-13:30,
13:30,,,
14:00,,,
14:30,$h3吹奏楽部<br>14:20-16:00,中学演劇部<br>14:00-14:25,$h4ダンス部<br>14:15-15:30
15:00,,,
15:30,,$h2ダンス部（雨天時）<br>15:00-16:00,
16:00,,,
